Nom du pays,nombre_de_la_population,superficie,langueOfficielle,nom_de_la_capitale,habitant_dans_la_capitale,latitude_capitale,longitude_capitale
Chine,1425671352,9596960,Chinoismandarin[a](écrit à l'aide desinogrammes simplifiés[b]),Pékin,21893095,39.903546,116.387578
Inde,1428627663,3287263,Hindi(langue officielle du gouvernement central)Anglais(langue officielle associée)Et21 autres langues planifiées[Note 1],New Delhi,16000000,28.61,77.23
États-Unis,334914895,9833517,Anglais(langue nationalede facto),"Washington, D.C.",678972,38.8951005,-77.0365673
Indonésie,270203917,1904569,Indonésien,Nusantara,0,-0.97297222222222,116.70883333333
Pakistan,220892331,881913,Ourdou[1]Anglais(temporairement)[2],Islamabad,1014825,33.717,73.067
Brésil,215002523,8547404,Portugais,Brasilia,3094325,-15.8,-47.9
Nigeria,219463862,923768,"AnglaisYoruba,haoussa,igboetpeul[a]",Abuja,2695000,9.0555555555556,7.4913888888889
Bangladesh,162650853,147570,Bengali,Dacca,21169000,23.7,90.375
Russie,146170015,17234033,Russe,Moscou,13104177,55.7525,37.6230861
Mexique,129875529,1964375,"L'espagnol,68 languesautochtones et lalangue des signes mexicaineont le statut de « langues nationales »[4],[5]",Mexico,9209944,19.419444444444,-99.145555555556
Japon,124105000,377975,Japonais,Tokyo,14264798,35.689444444444,139.69166666667
Éthiopie,110871031,1127127,Amharique,Addis-Abeba,3352000,9.03,38.74
Philippines,116434200,300400,"Philippin,anglais[1]",Manille,1780148,14.583,120.967
Égypte,102334000,1001450,Arabe,Le Caire,22623874,30.04458,31.245587
Viêt Nam,99391742,330967,Vietnamien,Hanoï,8053663,21.033,105.85
République démocratique du Congo,109717326,2345410,"Français(langues nationales:lingala,kikongo ya leta[a],swahili,tshiluba)",Kinshasa,17239463,-4.325,15.322222
Iran,87590873,1648195,Persan,Téhéran,15232564,35.680733,51.413934
Turquie,85372377,783562,Turc,Ankara,5782285,39.9272222,32.8644444
Allemagne,84673158,357588,Allemand,Berlin,3677472,,
Thaïlande,69920998,514000,Thaï,Bangkok,15624700,13.75222,100.49389
Royaume-Uni,67886004,246690,Anglais(de facto),Londres,14372596,51.507222,-0.1275
France,68373433,672051,Français,Paris,10890751,48.856578,2.351828
Tanzanie,62092761,945087,Swahili(de facto) etanglais(de facto),Dodoma,765179,-6.1835,35.746
Afrique du Sud,61525521,1219912,12 langues officielles,Pretoria,741651,-25.745,28.190278
Italie,58851000,301336,"Italien[2],[3]",Rome,2748109,41.888732,12.48657
Birmanie,56590071,676578,Birman,Naypyidaw,1160242,19.761347,96.08628
Kenya,47564296,580367,SwahiliAnglais,Nairobi,4734881,-1.283333,36.816667
Corée du Sud,51709098,100210,Coréenetlangue des signes coréenne,Séoul,10114373,37.5657,126.978
Colombie,51266000,1141748,Espagnol,Bogota,6778691,4.61,-74.082
Espagne,48592909,505911,Espagnol[3],Madrid,3332035,40.433333,-3.683333
Ouganda,41487965,241550,"Anglais,swahili",Kampala,1650800,0.31666,32.58333
Soudan,43120843,1886068,Arabeetanglais,Khartoum,2090001,15.633333,32.533333
Argentine,46044703,2791810,"Espagnolau niveau fédéral. Certaines provinces ont choisi en outre leguarani(Corrientes), letoba, lemocovíet lewichi(Chaco)[1]",Buenos Aires,14500000,-34.608051,-58.370256
