Description,Prix/m²,Tél. commercial,Conseiller immobilier,Source
Un terrain de 9ha70A8ca offrant une très belle vue à Tsiafahy- ANTANANARIVO,15 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/68716/Vente-Terrain-ANTANANARIVO-TANANARIVE-Un-terrain-de-9ha70A8ca-offrant-une-tres-belle-vue-a-Tsiafahy-ANTANANARIVO.html
Terrain plat de  7149 m2 avec vue dégagée sur Ambohimalaza- Antananarivo,20 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/66381/Vente-Terrain-ANTANANARIVO-TANANARIVE-Terrain-plat-de-7149-m2-avec-vue-degagee-sur-Ambohimalaza-Antananarivo.html
Un terrain de 03Ha 08A 23Ca à Imeritsiatosika Arivonimamo,26 500 Ar,Lalaina RATSIMBAZAFY,(+261) 34 08 583 76,https://www.ofim.mg/68881/Vente-Terrain-ANTANANARIVO-TANANARIVE-Un-terrain-de-03Ha-08A-23Ca-a-Imeritsiatosika-Arivonimamo.html
"Une carrière de granite  de 2ha 20a 21ca, également constructible à Ambatofotsy- Antananarivo",30 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/63145/Vente-Terrain-ANTANANARIVO-TANANARIVE-Une-carriere-de-granite-de-2ha-20a-21ca-egalement-constructible-a-Ambatofotsy-Antananarivo.html
"A vendre, grand terrain de 9958 m2en bord de route principale sur Fenoarivo Morarano- Antananarivo",30 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/69638/Vente-Terrain-ANTANANARIVO-TANANARIVE-A-vendre-grand-terrain-de-9958-m2en-bord-de-route-principale-sur-Fenoarivo-Morarano-Antananarivo.html
Terrain a vendre a ambohitrabiby,32 520 Ar,,,https://www.ofim.mg/52240/Vente-Terrain-ANTANANARIVO-TANANARIVE-Terrain-a-vendre-a-ambohitrabiby.html
Terrain plat de 5 005 m2 à Anjafikely Imerimandroso- Antananarivo,38 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/69498/Vente-Terrain-ANTANANARIVO-TANANARIVE-Terrain-plat-de-5-005-m2-a-Anjafikely-Imerimandroso-Antananarivo.html
Un terrain de 1Ha 53A 09Ca à Analavory Ampefy ( Région Itasy ),47 700 Ar,Lalaina RATSIMBAZAFY,(+261) 34 08 583 76,https://www.ofim.mg/68879/Vente-Terrain-ANTANANARIVO-TANANARIVE-Un-terrain-de-1Ha-53A-09Ca-a-Analavory-Ampefy-Region-Itasy.html
Terrain de 400 m2 dans un lotissement avec belle vue à Ambatomirahavavy- Antananarivo,55 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/67143/Vente-Terrain-ANTANANARIVO-TANANARIVE-Terrain-de-400-m2-dans-un-lotissement-avec-belle-vue-a-Ambatomirahavavy-Antananarivo.html
"A vendre, un terrain de 3Ha55a10Ca, facile d'accès, en bord de route à Antanambao Avaratra-Antananarivo",70 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/56185/Vente-Terrain-ANTANANARIVO-TANANARIVE-A-vendre-un-terrain-de-3Ha55a10Ca-facile-d-acces-en-bord-de-route-a-Antanambao-Avaratra-Antananarivo.html
,0,,,
"A vendre, un terrain de 4HA, arboré avec deux bâtis en dur en bord de route à Manandriana Ifasy - Antananarivo",80 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/56169/Vente-Terrain-ANTANANARIVO-TANANARIVE-A-vendre-un-terrain-de-4HA-arbore-avec-deux-batis-en-dur-en-bord-de-route-a-Manandriana-Ifasy-Antananarivo.html
